tilePatterns,tilePkeys,tileToTilePatterns,nodePkeyIdx,nodeWireInTilePkeys,subgraphs[0],wirePatternDx[0],wirePatternDy[0],wirePatternToWire[0],hasPip[0],subgraphs[1],wirePatternDx[1],wirePatternDy[1],wirePatternToWire[1],hasPip[1],subgraphs[2],wirePatternDx[2],wirePatternDy[2],wirePatternToWire[2],hasPip[2],subgraphs[3],wirePatternDx[3],wirePatternDy[3],wirePatternToWire[3],hasPip[3],subgraphs[4],wirePatternDx[4],wirePatternDy[4],wirePatternToWire[4],hasPip[4],subgraphs[5],wirePatternDx[5],wirePatternDy[5],wirePatternToWire[5],hasPip[5],
"[1, 3, 5]",9712,1,0,84936,84937,0,-5,18955,1,84937,0,-57,18959,1,84937,0,-57,18959,1,84992,70,0,55204,1,84995,70,0,57347,1,85044,0,-18,43566,1,
"[2, 3, 5]",9713,2,1,84937,84937,0,8,3056,1,84937,0,8,3056,1,84937,0,8,3056,1,84990,70,0,55202,1,84990,70,0,57342,1,85030,0,17,45981,1,
"[2, 4, 5]",9714,3,2,84989,84937,0,60,3058,1,84937,0,-44,3060,1,84937,0,-5,18955,1,85001,70,0,55213,1,84989,70,0,57341,1,85045,0,-18,43567,1,
"[0, 4, 5]",9715,0,3,84990,84937,0,47,18957,1,84937,0,-5,18955,1,84937,0,47,18957,1,85002,70,0,55214,1,84999,70,0,57351,1,85042,-7,0,11308,1,
,,,4,84991,84936,0,-5,18954,1,84936,0,-57,18958,1,84937,0,60,3058,1,84996,70,0,55208,1,84996,70,0,57348,1,85040,-7,0,11306,1,
,,,5,84992,84936,0,60,3057,1,84936,0,8,3055,1,84937,0,-44,3060,1,84993,70,0,55205,1,84992,70,0,57344,1,85031,0,17,45983,1,
,,,6,84993,84936,0,47,18956,1,84936,0,-5,18954,1,84936,0,-5,18954,1,84994,70,0,55206,1,85000,70,0,57352,1,85043,-7,0,11309,1,
,,,7,84994,84936,0,8,3055,1,84936,0,-44,3059,1,84936,0,-44,3059,1,85000,70,0,55212,1,84998,70,0,57350,1,85029,0,17,45985,1,
,,,8,84995,,,,,,,,,,,84936,0,-57,18958,1,84989,70,0,55201,1,85001,70,0,57353,1,85041,-7,0,11307,1,
,,,9,84996,,,,,,,,,,,84936,0,60,3057,1,84998,70,0,55210,1,85002,70,0,57354,1,,,,,,
,,,10,84997,,,,,,,,,,,84936,0,8,3055,1,84997,70,0,55209,1,84991,70,0,57343,1,,,,,,
,,,11,84998,,,,,,,,,,,84936,0,47,18956,1,84999,70,0,55211,1,84997,70,0,57349,1,,,,,,
,,,12,84999,,,,,,,,,,,,,,,,84991,70,0,55203,1,84994,70,0,57346,1,,,,,,
,,,13,85000,,,,,,,,,,,,,,,,84995,70,0,55207,1,84993,70,0,57345,1,,,,,,
,,,14,85001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,85002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,85029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,85030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,85031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,85040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,85041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,85042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,85043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23,85044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,85045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25,85046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
