tilePatterns,tilePkeys,tileToTilePatterns,nodePkeyIdx,nodeWireInTilePkeys,subgraphs[0],wirePatternDx[0],wirePatternDy[0],wirePatternToWire[0],hasPip[0],subgraphs[1],wirePatternDx[1],wirePatternDy[1],wirePatternToWire[1],hasPip[1],subgraphs[2],wirePatternDx[2],wirePatternDy[2],wirePatternToWire[2],hasPip[2],subgraphs[3],wirePatternDx[3],wirePatternDy[3],wirePatternToWire[3],hasPip[3],subgraphs[4],wirePatternDx[4],wirePatternDy[4],wirePatternToWire[4],hasPip[4],subgraphs[5],wirePatternDx[5],wirePatternDy[5],wirePatternToWire[5],hasPip[5],
"[1, 5]",9712,1,0,84936,84936,0,26,9182,0,84937,0,17,45955,0,84937,0,17,45955,0,84991,6,0,12598,0,84998,26,0,11513,0,85040,-3,0,54407,0,
"[2, 3, 5]",9713,0,1,84937,84936,0,69,45956,0,84937,0,-26,9185,0,84937,0,-26,9185,0,84991,30,0,59369,0,84998,61,0,12605,0,85040,6,0,12614,0,
"[2, 4, 5]",9714,3,2,84989,84936,0,-5,18954,1,84937,0,-57,18959,1,84937,0,-57,18959,1,84991,21,0,11506,0,84998,68,0,54378,0,85040,-4,0,29467,0,
"[0, 5]",9715,2,3,84990,84936,0,17,45954,0,84937,0,-70,41330,0,84937,0,-70,41330,0,84991,5,0,12598,0,84998,46,0,54378,0,85040,9,0,12614,0,
,,,4,84991,84936,0,34,41327,0,84937,0,-35,45959,0,84937,0,8,3056,1,84991,56,0,12598,0,84998,51,0,12605,0,85040,-1,0,15646,0,
,,,5,84992,84936,0,52,85049,0,84937,0,-5,18955,1,84937,0,-5,18955,1,84991,41,0,29431,0,84998,24,0,54378,0,85040,-7,0,11306,1,
,,,6,84993,84936,0,60,3057,1,84937,0,8,3056,1,84937,0,-35,45959,0,84991,15,0,12598,0,84998,18,0,54378,0,85040,10,0,11518,0,
,,,7,84994,84936,0,-18,41325,0,84937,0,-18,41326,0,84937,0,47,18957,1,84991,3,0,29431,0,84998,28,0,73764,0,85040,-2,0,59343,0,
,,,8,84995,84936,0,8,3055,1,84937,0,-44,3060,1,84937,0,34,41328,0,84991,32,0,73757,0,84998,22,0,12605,0,85040,4,0,54407,0,
,,,9,84996,84936,0,47,18956,1,84937,0,-52,85052,0,84937,0,26,9183,0,84991,2,0,12598,0,84998,36,0,73764,0,85040,7,0,29467,0,
,,,10,84997,84992,50,0,54372,0,84990,23,0,29430,0,84937,0,60,3058,1,84991,25,0,12598,0,84998,30,0,59376,0,85040,3,0,29467,0,
,,,11,84998,84992,28,0,29432,0,84990,20,0,59247,0,84937,0,69,45957,0,84991,64,0,12598,0,84998,49,0,29438,0,85040,8,0,54407,0,
,,,12,84999,84992,2,0,12599,0,84990,17,0,29430,0,84937,0,-18,41326,0,84991,52,0,11506,0,84998,35,0,59376,0,85040,-5,0,59343,0,
,,,13,85000,84992,52,0,11507,0,84990,58,0,29430,0,84937,0,-44,3060,1,84991,59,0,54371,0,84998,39,0,27428,0,85040,-8,0,73799,0,
,,,14,85001,84992,33,0,54372,0,84990,14,0,54370,0,84937,0,-52,85052,0,84991,62,0,29431,0,84998,42,0,54378,0,85040,-6,0,12148,0,
,,,15,85002,84992,43,0,12599,0,84990,43,0,12597,0,84937,0,52,85050,0,84991,65,0,11506,0,84998,8,0,54378,0,85040,2,0,12614,0,
,,,16,85029,84992,69,0,59332,0,84990,4,0,54370,0,84936,0,26,9182,0,84991,47,0,12598,0,84998,57,0,12605,0,85040,5,0,12614,0,
,,,17,85030,84992,65,0,11507,0,84990,40,0,59330,0,84936,0,69,45956,0,84991,67,0,29431,0,84998,32,0,73764,0,85040,1,0,11518,0,
,,,18,85031,84992,9,0,12599,0,84990,21,0,11505,0,84936,0,-5,18954,1,84991,28,0,73757,0,84998,55,0,54378,0,85043,9,0,12617,0,
,,,19,85040,84992,68,0,54372,0,84990,70,0,55202,1,84936,0,-35,45958,0,84991,14,0,54371,0,84998,47,0,12605,0,85043,8,0,54410,0,
,,,20,85041,84992,60,0,12599,0,84990,56,0,12597,0,84936,0,17,45954,0,84991,29,0,73757,0,84998,37,0,73764,0,85043,-2,0,59346,0,
,,,21,85042,84992,46,0,54372,0,84990,29,0,54370,0,84936,0,-44,3059,1,84991,17,0,29431,0,84998,14,0,54378,0,85043,2,0,12617,0,
,,,22,85043,84992,13,0,29432,0,84990,7,0,29430,0,84936,0,34,41327,0,84991,48,0,12598,0,84998,1,0,11513,0,85043,-3,0,54410,0,
,,,23,85044,84992,48,0,12599,0,84990,12,0,59330,0,84936,0,-57,18958,1,84991,12,0,59331,0,84998,52,0,11513,0,85043,4,0,54410,0,
,,,24,85045,84992,62,0,29432,0,84990,66,0,12597,0,84936,0,52,85049,0,84991,58,0,29431,0,84998,45,0,29438,0,85043,6,0,12617,0,
,,,25,85046,84992,24,0,54372,0,84990,38,0,12597,0,84936,0,60,3057,1,84991,69,0,59331,0,84998,31,0,59376,0,85043,3,0,29470,0,
,,,,,84992,19,0,59332,0,84990,44,0,12597,0,84936,0,-18,41325,0,84991,26,0,11506,0,84998,23,0,29438,0,85043,1,0,11521,0,
,,,,,84992,61,0,12599,0,84990,54,0,29430,0,84936,0,-26,9184,0,84991,24,0,54371,0,84998,20,0,59255,0,85043,-4,0,29470,0,
,,,,,84992,70,0,57344,1,84990,32,0,29430,0,84936,0,8,3055,1,84991,60,0,12598,0,84998,65,0,11513,0,85043,10,0,11521,0,
,,,,,84992,21,0,11507,0,84990,16,0,12597,0,84936,0,-70,41329,0,84991,68,0,54371,0,84998,53,0,12605,0,85043,-1,0,15649,0,
,,,,,84992,5,0,12599,0,84990,6,0,12597,0,84936,0,47,18956,1,84991,46,0,54371,0,84998,38,0,59376,0,85043,-8,0,73802,0,
,,,,,84992,42,0,54372,0,84990,51,0,12597,0,84936,0,-52,85051,0,84991,51,0,12598,0,84998,70,0,57350,1,85043,7,0,29470,0,
,,,,,84992,36,0,29432,0,84990,22,0,12597,0,,,,,,84991,61,0,12598,0,84998,43,0,12605,0,85043,5,0,12617,0,
,,,,,84992,57,0,12599,0,84990,63,0,54370,0,,,,,,84991,35,0,59369,0,84998,4,0,54378,0,85043,-6,0,12151,0,
,,,,,84992,35,0,12599,0,84990,39,0,27420,0,,,,,,84991,54,0,29431,0,84998,9,0,12605,0,85043,-7,0,11309,1,
,,,,,84992,18,0,54372,0,84990,64,0,12597,0,,,,,,84991,37,0,73757,0,84998,66,0,12605,0,85043,-5,0,59346,0,
,,,,,84992,8,0,54372,0,84990,2,0,12597,0,,,,,,84991,50,0,54371,0,84998,56,0,12605,0,85044,0,-18,43566,1,
,,,,,84992,49,0,29432,0,84990,53,0,12597,0,,,,,,84991,18,0,54371,0,84998,44,0,12605,0,85044,0,-5,19082,0,
,,,,,84992,39,0,27422,0,84990,59,0,54370,0,,,,,,84991,34,0,59369,0,84998,15,0,12605,0,85045,0,-5,19083,0,
,,,,,84992,64,0,12599,0,84990,67,0,29430,0,,,,,,84991,8,0,54371,0,84998,27,0,59376,0,85045,0,-18,43567,1,
,,,,,84992,25,0,12599,0,84990,37,0,54370,0,,,,,,84991,1,0,11506,0,84998,13,0,29438,0,85030,0,17,45981,1,
,,,,,84992,30,0,12599,0,84990,47,0,12597,0,,,,,,84991,22,0,12598,0,84998,7,0,29438,0,85030,0,8,2998,0,
,,,,,84992,20,0,59249,0,84990,25,0,12597,0,,,,,,84991,57,0,12598,0,84998,58,0,29438,0,85041,4,0,54408,0,
